name,popularity,albumName,artistNames,spotifyUri
By The Ports Of Europe,39,I Tell A Fly,Benjamin Clementine,spotify:track:2dTWG6EXCzwn2RwTZI2GAN
Silent Night,13,CORRESPONDENCE,Annika Norlin,spotify:track:2nmkiwuQW8GDlLcxWgSGMQ
Election Day,14,CORRESPONDENCE,Annika Norlin,spotify:track:2oKa0G8NXGdFE45QVqw2Lp
On the Edge of Time,14,CORRESPONDENCE,Jens Lekman,spotify:track:7xE06l8dDCLmJts0cqCCFG
Failure,13,CORRESPONDENCE,Annika Norlin,spotify:track:1MAGEjhwRtbn2gri58R4sh
Cosmetic Store,14,CORRESPONDENCE,Jens Lekman,spotify:track:61xWsjJG6DB9QUbuIsDHwj
Revenge of the Nerds,17,CORRESPONDENCE,Jens Lekman,spotify:track:0fzKfN7lHZL2mUV2Suwq4f
Joining a Cult,15,CORRESPONDENCE,Annika Norlin,spotify:track:3V39LJJo8dXz2YmtOlmq7F
"Not Because It’s Easy, But Because It’s Hard",16,CORRESPONDENCE,Jens Lekman,spotify:track:1mFmeQ28wXUcnMs1xq4oxj
Hibernation,14,CORRESPONDENCE,Annika Norlin,spotify:track:1Tq9mpiL9LSjxyRCaAsK6q
Showering in Public,15,CORRESPONDENCE,Annika Norlin,spotify:track:45bpWnPDffIPr8C6QDuPEj
"Forever Young, Forever Beautiful",19,CORRESPONDENCE,Jens Lekman,spotify:track:7r4ZKB54rBN5Co3Ds76X9q
Who Really Needs Who,21,CORRESPONDENCE,Jens Lekman,spotify:track:2kqxMIUKJ5alrHrIQEwM97
Unsatisfied,44,Let It Be (Expanded),The Replacements,spotify:track:4QuYdbaC0j3lzmt5hLgMjj
Terug,34,Bitterzoet,Eefje de Visser,spotify:track:0sCWg49e9sAD6LLbPQE9OX
Onverstaanbaar,31,Bitterzoet,Eefje de Visser,spotify:track:1zFVKVaVNhEdnxZvYXzHTz
Maak Het Stil,36,Bitterzoet,Eefje de Visser,spotify:track:76T8x5L0W7Gr1zC1tw97DP
Pixels,34,Bitterzoet,Eefje de Visser,spotify:track:3dwTTeyAb7E3fObMb4ln7G
De Parade,47,Bitterzoet,Eefje de Visser,spotify:track:63i8rEP5gnpHwRF3ieyzxp
Controle,35,Bitterzoet,Eefje de Visser,spotify:track:0IEegZZWNmOLMwVur6sYYg
Kom Op,34,Bitterzoet,Eefje de Visser,spotify:track:3c8PTPJBYna8NAl8EwK3P6
Stilstand,40,Bitterzoet,Eefje de Visser,spotify:track:5V5d3Phyu77vvN8Ea6gMIb
Lange Vinnen,39,Bitterzoet,Eefje de Visser,spotify:track:6kJskZR5qZDd4ADH1Doo9Z
Bitterzoet,48,Bitterzoet,Eefje de Visser,spotify:track:39He9xYIIOdK0pU3U9OjAs
Zwarte Zon,43,Bitterzoet,Eefje de Visser,spotify:track:1nKPTdhP4hKQ9IKmjSv2Xd
Wildfire,65,Blindfaller,Mandolin Orange,spotify:track:6VfY0sgS4j4JpFQH8kk4XA
Drink My Rivers,40,The Bearer of Bad News,Andy Shauf,spotify:track:5YnIlLNACAWMpf2130p9d6
Harlem River Blues,52,Harlem River Blues,Justin Townes Earle,spotify:track:705t4FIT7itZwAyFKt3krq
out of sight (feat. 2 Chainz),55,RTJ4,Run The Jewels,spotify:track:2uxudaBcJamtfgvUjSDdkZ
You Make Me Feel Like Dancing - Remastered,64,Endless Flight,Leo Sayer,spotify:track:6gTrbqZnyljwXdYQTyBkSx
Farewell Transmission,49,Farewell Transmission b/w The Dark Don’t Hide It,Kevin Morby,spotify:track:6QhhnBsVJ8WepUb1KLTFFH
Plastic 100°C,59,Process,Sampha,spotify:track:0ah6qyhi2jlBP6D7JLxZrt
dragon eyes,0,songs,Adrianne Lenker,spotify:track:3tZWSlzo0aFlBJsfhe23r2
zombie girl,0,songs,Adrianne Lenker,spotify:track:5ZD6USvzWXbGxZ9pv6a9b9
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),81,CALL ME IF YOU GET LOST,"Tyler, The Creator",spotify:track:5B0kgjHULYJhAQkK5XsMoC
LUMBERJACK,71,CALL ME IF YOU GET LOST,"Tyler, The Creator",spotify:track:0BiK5BbYNFLb88CCOxBFJe
Tired,34,Song of Sage: Post Panic!,Navy Blue,spotify:track:1bVv8MFMPbWLf3qQBSIjev
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),75,CALL ME IF YOU GET LOST,"Tyler, The Creator",spotify:track:7z4xW9WY86uH3gd1V9pfCM
Dance Yrself Clean,65,This Is Happening,LCD Soundsystem,spotify:track:2cmRpmO04TLaKPzmAzySYZ
oh baby,64,american dream,LCD Soundsystem,spotify:track:53PkA8aXiwH4ppa0V0iO7o
シュリンプ・ダンス,43,キャット,鈴木 弘,spotify:track:2Gxqikeb2xoK7clN0p8wch
ウォーク・トール,37,キャット,鈴木 弘,spotify:track:1M3MUcSSE0CF3cCEJO4v4l
Everybody Eats When They Come To My House,50,Hi De Ho Man,Cab Calloway,spotify:track:5Bw7Nf4mJAOQMtb2Ir9uJX
Ahora Que La Mierda Ya Me Llega Hasta Los Ojos,31,Madera y Poca Luz,Espaldamaceta,spotify:track:5pFjkmpBSGuU8RnLpzwHmQ
