name,popularity,albumName,artistNames,spotifyUri,timePlayed
Going Home,37,Wildflower,The Avalanches,spotify:track:2RTwPzWk8u31Z7ruZmXe2A,2022-02-14T17:49:08.793Z
Subways,47,Wildflower,The Avalanches,spotify:track:1ZxakFiRaOFj6CDarCxozU,2022-02-14T17:08:18.781Z
Frankie Sinatra,47,Wildflower,The Avalanches,spotify:track:39j3ulhZAiudnvNp7dwgYl,2022-02-14T17:05:07.860Z
Because I’m Me,63,Wildflower,The Avalanches,spotify:track:3f3HHRPF5vAo90GwdpDMaQ,2022-02-14T17:01:24.453Z
The Leaves Were Falling,0,Wildflower,The Avalanches,spotify:track:3HoXMEw4O6hfuYBVyBzkP7,2022-02-14T16:57:11.681Z
holy calamafuck,50,RTJ4,Run The Jewels,spotify:track:6tfrMstZ8tw7nZJ6HP0PyW,2022-02-14T16:52:02.664Z
Chaos Space Marine,63,Ants From Up There,"Black Country, New Road",spotify:track:2UEH1NjNHGsoEIr3GKLhNR,2022-02-14T16:48:03.634Z
Chase Me (feat. Run The Jewels & Big Boi) - Single Version - Music From The Motion Picture Baby Driver,49,Chase Me (feat. Run The Jewels & Big Boi),Danger Mouse,spotify:track:2ouMVpv6OJglrFHg2GQPwd,2022-02-14T16:44:27.010Z
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",72,Revenge Of The Dreamers III,Dreamville,spotify:track:36J0iaPDGbYGsHvYpaYs3k,2022-02-14T16:40:59.327Z
pulling the pin (feat. Mavis Staples & Josh Homme),45,RTJ4,Run The Jewels,spotify:track:1uE4PBDSPZ0cT4do1bmT7A,2022-02-14T16:38:09.401Z
Loosey In The Store With Pennies (Extended Version),18,Your Old Droog,Your Old Droog,spotify:track:6DZbnpbmfXqWJkjqu7FZEM,2022-02-14T16:34:31.802Z
out of sight (feat. 2 Chainz),55,RTJ4,Run The Jewels,spotify:track:2uxudaBcJamtfgvUjSDdkZ,2022-02-14T16:30:22.029Z
Mr. Trevor Philips,28,"The Music of Grand Theft Auto V, Vol. 2: The Score",Tangerine Dream,spotify:track:6wssQWbZdZuqYLKFl6DgPD,2022-02-14T16:27:00.752Z
walking in the snow,51,RTJ4,Run The Jewels,spotify:track:2pVvB487ZwqdzTxEvEEors,2022-02-14T16:22:34.068Z
9-24-7000 (feat. Rick Ross),37,Blue Chips 7000,Action Bronson,spotify:track:0wASQ9xMN5CR5K7TdYCDbd,2022-02-14T16:18:37.777Z
JU$T (feat. Pharrell Williams & Zack de la Rocha),55,RTJ4,Run The Jewels,spotify:track:10vS4ZLi4XWlIsNXSQXgqh,2022-02-14T16:15:07.413Z
Track X,55,For the first time,"Black Country, New Road",spotify:track:6jezfOPKkARrn1J8AwHTE4,2022-02-14T16:11:42.422Z
yankee and the brave (ep. 4),55,RTJ4,Run The Jewels,spotify:track:1EjzcBTVLV7ATtdsQwyV31,2022-02-14T16:06:57.458Z
Options (with Coi Leray & Wale) - Remix,45,Options (with Coi Leray & Wale) [Remix],EARTHGANG,spotify:track:1O110m9QKRYpE14dfqHzg5,2022-02-14T16:04:30.383Z
Oh My Darling Don't Cry,54,Run the Jewels 2,Run The Jewels,spotify:track:6Q1TIMUFgQIiRJlPMgXKsC,2022-02-14T16:01:16.379Z
Waiting for the Great Leap Forwards,42,Workers Playtime,Billy Bragg,spotify:track:259G3Jsb3cerNiYS05rPEK,2022-02-14T15:53:50.226Z
Between the Wars,36,Brewing up With,Billy Bragg,spotify:track:25sqUAyAiveCVVLqIB40GO,2022-02-14T15:52:09.320Z
Way over Yonder in the Minor Key,50,Mermaid Avenue,Billy Bragg,spotify:track:4oAIcTUK9aVpT2gIBsbKXD,2022-02-14T15:49:38.112Z
A New England,41,Life's a Riot with Spy vs. Spy (30th Anniversary Edition),Billy Bragg,spotify:track:0tLuGOBe8BjapO9GcX9WXb,2022-02-14T15:45:29.367Z
Hobo's Lullaby,51,Shine a Light: Field Recordings from the Great American Railroad,Billy Bragg,spotify:track:2Hpd2G05DgciJqM8N1gbNk,2022-02-14T15:43:14.492Z
When the Roses Bloom Again,55,Mermaid Avenue Vol. III,Billy Bragg,spotify:track:5UxJZ4bAva9wi19szFiddW,2022-02-14T15:39:16.224Z
Modern Pressure,42,Modern Pressure,Daniel Romano,spotify:track:2QezxodACMrbM5VLhtAIsR,2022-02-14T13:24:51.467Z
Overlord,45,5EPs,Dirty Projectors,spotify:track:71ehrhyVZ6NDtdkYOWP1J0,2022-02-14T13:20:56.237Z
Farewell Transmission,49,Farewell Transmission b/w The Dark Don’t Hide It,Kevin Morby,spotify:track:6QhhnBsVJ8WepUb1KLTFFH,2022-02-12T16:03:24.428Z
Snow Song,37,Hours Were the Birds,Adrianne Lenker,spotify:track:0Cb1Ltn7Gc84D8x0SKmAZX,2022-02-12T15:56:26.804Z
Certainty,61,Certainty,Big Thief,spotify:track:10DoOnXIHg8Zn3Iucy8Tmu,2022-02-12T15:52:29.894Z
forwards beckon rebound,46,songs,Adrianne Lenker,spotify:track:6PBanBy8L1K2Ry4UN186XH,2022-02-12T15:49:21.787Z
It Wasn't Me,43,Waysides,Bedouine,spotify:track:0fEFGxcfXnXHeHfvuVFuo1,2022-02-12T15:46:11.508Z
dragon eyes,47,songs,Adrianne Lenker,spotify:track:2u0vK4Gf1IaEdcI7MtRWP5,2022-02-12T15:42:03.708Z
Ringing Bells,34,b-sides,Adrianne Lenker,spotify:track:5xjqIJjjrLgTD2GBHkDQtJ,2022-02-12T15:38:36.694Z
two reverse,51,songs,Adrianne Lenker,spotify:track:4GHHloVSspowQJMBsJ6r37,2022-02-12T15:34:47.584Z
To You,41,The Party,Andy Shauf,spotify:track:114ujdGSsiHKbDIO7MVH16,2022-02-12T15:31:13.818Z
anything,62,songs,Adrianne Lenker,spotify:track:4PwWESSlTwzvw9B7bmtTLS,2022-02-12T15:27:18.408Z
Light of a Clear Blue Morning,49,Saint Cloud +3,Waxahatchee,spotify:track:5slPetmTwOHfqpEFFDMzyn,2022-02-12T15:23:55.641Z
half return,45,songs,Adrianne Lenker,spotify:track:1i8dJGpKO0xQiKGCVslJqB,2022-02-12T15:19:16.972Z
Not - Edit,31,Not,Big Thief,spotify:track:0QlULHJrr9u2AunNm1mmzi,2022-02-12T15:17:07.720Z
ingydar,52,songs,Adrianne Lenker,spotify:track:5CpH0bwau1sW8vtTBQ8Erc,2022-02-12T15:12:57.631Z
Nice and Quiet,51,Bedouine (Deluxe),Bedouine,spotify:track:1BWOUFGSAbPzrhZxDMno2K,2022-02-12T15:08:48.284Z
Indiana,54,a-sides,Adrianne Lenker,spotify:track:4yVrfsUNtc5RS7nbOv8hHA,2022-02-12T15:04:57.755Z
I Still Hear You,43,a-sides,Adrianne Lenker,spotify:track:5axTmQJpmmKAPWUOBTJboB,2022-02-12T15:02:18.929Z
Money,38,a-sides,Adrianne Lenker,spotify:track:6uSLk87TiYs9uTqf23k0Sw,2022-02-12T14:58:52.317Z
Drink My Rivers,40,The Bearer of Bad News,Andy Shauf,spotify:track:5YnIlLNACAWMpf2130p9d6,2022-02-12T14:54:54.677Z
zombie girl,56,songs,Adrianne Lenker,spotify:track:3v2OxIsGWJXWfLuRkB59Q6,2022-02-12T14:50:32.605Z
Lilacs,56,Saint Cloud,Waxahatchee,spotify:track:69Akwuscu16hdYN637eTis,2022-02-12T14:47:47.772Z
"not a lot, just forever",49,songs,Adrianne Lenker,spotify:track:11hEwcy9LMEvzAlOYAFhkK,2022-02-12T14:44:31.538Z
