name,popularity,albumName,artistNames,spotifyUri
Het Is Al Laat Toch,60,Het Is Al Laat Toch,Racoon,spotify:track:5OhjkylPjKnmR7I2gnVNwz
In Your Head,0,Miss Universe,Nilüfer Yanya,spotify:track:2zKwL2iB6OllEknSXuSwbX
Star Witness,50,Fox Confessor Brings The Flood (Bonus Track Version),Neko Case,spotify:track:17fWdcSAhLc6559youmLap
yankee and the brave (ep. 4),55,RTJ4,Run The Jewels,spotify:track:1EjzcBTVLV7ATtdsQwyV31
Sun in an Empty Room,52,Reunion Tour,The Weakerthans,spotify:track:4r1AS456lSXXXv6aVpDT4e
Leave The City,0,What Comes After The Blues,Magnolia Electric Co.,spotify:track:7IociFkFQ0fJDxuUtNED9I
Why Did You Separate Me from the Earth?,0,HOPELESSNESS,ANOHNI,spotify:track:09UdhgleUcIgECngiS49gy
Paul,66,Masterpiece,Big Thief,spotify:track:4AA4xt0NvJCUaJYh9SoZ1y
Drone Bomb Me,0,HOPELESSNESS,ANOHNI,spotify:track:4Fe5RBekhh4irEhWZrGsCw
Solidarity Forever,42,If I Had a Hammer: Songs of Hope and Struggle,Pete Seeger,spotify:track:5NShvMH3lRmQPW4qc0hYKY
Wernher Von Braun,29,That Was The Year That Was,Tom Lehrer,spotify:track:5VecMLA2RrjfBAP2hqvLVa
Who Really Needs Who,0,CORRESPONDENCE,Jens Lekman,spotify:track:4wUheQw0WXuKyY9brvwEVx
Soms Is Het Te Laat,33,Soms Is Het Te Laat,WIES,spotify:track:1tXLnT5iIyCxe2Kc3M9wH4
Þerney (One Thing),43,Twosomeness,Pascal Pinon,spotify:track:4hq3eYHlkHhcD70jwgZQhE
El Partisano,22,Miedo Al Silencio,Espaldamaceta,spotify:track:1TgoqOjkArBpOfp8YmvhVz
The Dark Don't Hide It,0,What Comes After The Blues,Magnolia Electric Co.,spotify:track:7AGNxlQjAADFVPiW70z2s8
Paradise,51,John Prine,John Prine,spotify:track:47QsP5uPZp3he5UrVsK8bs
Never Change,39,Never Change,Obongjayar,spotify:track:58jiO8fZTyFM0EB7Nliu0T
Plankje,29,Superlatief,MEROL,spotify:track:5CJhvGbiZKJOKuJ8734v5i
Forgotten Eyes,45,Two Hands,Big Thief,spotify:track:3uVlbYb1nUwwcYziaJk9LD
Androgynous,55,Let It Be (Expanded),The Replacements,spotify:track:3fnL2JDgy4QD04araOl0eY
In Your Head,0,In Your Head,Nilüfer Yanya,spotify:track:1aOJW5OXD2V7aVUQLtSu9P
Send The Marines,20,That Was The Year That Was,Tom Lehrer,spotify:track:4bync7tV0YGy95sI4DUbJL
Plea from a Cat Named Virtute,49,Reconstruction Site,The Weakerthans,spotify:track:6FfMiOK3Ma2GNAbjbGxFVn
Paralysed,0,Miss Universe,Nilüfer Yanya,spotify:track:2ntdS60B1Coq9AiukFdMVd
Not,54,Two Hands,Big Thief,spotify:track:7lrhugjSbiImrNSLIFIq0c
Al mar!,52,Els Millors Professors Europeus,Manel,spotify:track:4KQPAGQNStZaWiewr83fwM
I Love You Like An Alcoholic,60,"""God, Forgive These Bastards"" Songs From The Forgotten Life of Henry Turner",The Taxpayers,spotify:track:7u63zva845rv8tRFi9FG8a
